ZAVSIFMAT,ZAVMATNAZ,ZAVSIF,ZAVNAZ,KAT_MAT,KATEGORIJA,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBD_SIF,OBDOBJE,STEV_UCENCEV,DOG_SIF,DOGODEK,VZROK_SIF,VZROK
1065,Vrtec Koper,11309,"Vrtec Koper, Enota Ribica",1010,1010,Obalno-kraška,Koper,27.08.2021,05.09.2021,01.09.2021,1003,Komb. 1. in 2. star. obd.,17,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
1066,Kranjski vrtci,1066,Kranjski vrtci,1010,1010,Gorenjska,Kranj,01.09.2021,10.09.2021,02.09.2021,1001,1. star. obd.,7,2002,Otroci oddelka so v domači karanteni,3004,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine
1085,Vrtec Ptuj,14114,"Vrtec Ptuj, Enota Mačice",1010,1010,Podravska,Ptuj,26.08.2021,04.09.2021,02.09.2021,1001,1. star. obd.,14,2002,Otroci oddelka so v domači karanteni,3008,Okužba s Covid-19 pri otroku ali več otrocih skupine
1095,Vrtec Antona Medveda Kamnik,13350,"Vrtec  Antona Medveda Kamnik, enota Tinkara",1010,1010,Osrednjeslovenska,Kamnik,31.08.2021,09.09.2021,02.09.2021,1001,1. star. obd.,8,2002,Otroci oddelka so v domači karanteni,3006,Okužba s Covid-19 pri drugem strokovnem delavcu
11,Gimnazija Bežigrad,10829,"Gimnazija Bežigrad, Gimnazija",3010,3010,Osrednjeslovenska,Ljubljana,02.09.2021,11.09.2021,02.09.2021,1030,3. letnik,25,2007,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
122,Osnovna šola Brežice,122,Osnovna šola Brežice,2010,2010,Posavska,Brežice,01.09.2021,10.09.2021,03.09.2021,1012,9. razred,21,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
1262,Šolski center Novo mesto,1287,"Šolski center Novo mesto, Srednja elektro šola in tehniška gimnazija",3010,3010,Jugovzhodna Slovenija,Novo mesto,03.09.2021,10.09.2021,02.09.2021,1030,3. letnik,31,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
1307,Osnovna šola Brinje Grosuplje,1309,"Osnovna šola Brinje Grosuplje, Podružnična osnovna šola s prilagojenim programom",2010,2020,Osrednjeslovenska,Grosuplje,01.09.2021,10.09.2021,02.09.2021,1019,7. razred,5,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
1307,Osnovna šola Brinje Grosuplje,1309,"Osnovna šola Brinje Grosuplje, Podružnična osnovna šola s prilagojenim programom",2010,2020,Osrednjeslovenska,Grosuplje,01.09.2021,10.09.2021,02.09.2021,1021,9. razred,5,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
1341,Osnovna šola Ljubečna,1341,Osnovna šola Ljubečna,2010,2010,Savinjska,Celje,01.09.2021,10.09.2021,03.09.2021,1007,4. razred,27,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
15009,Vrtec Škratek Svit Vodice,16249,"Vrtec Škratek Svit Vodice, enota Skaručna",1010,1010,Osrednjeslovenska,Vodice,30.08.2021,09.09.2021,02.09.2021,1002,2. star. obd.,16,2002,Otroci oddelka so v domači karanteni,3005,Okužba s Covid-19 pri vzgojitelju
199,Osnovna šola Marije Vere,199,Osnovna šola Marije Vere,2010,2010,Osrednjeslovenska,Kamnik,02.09.2021,11.09.2021,03.09.2021,1008,5. razred,21,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
199,Osnovna šola Marije Vere,199,Osnovna šola Marije Vere,2010,2010,Osrednjeslovenska,Kamnik,02.09.2021,11.09.2021,03.09.2021,1008,5. razred,23,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
199,Osnovna šola Marije Vere,199,Osnovna šola Marije Vere,2010,2010,Osrednjeslovenska,Kamnik,02.09.2021,11.09.2021,03.09.2021,1008,5. razred,23,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
204,Osnovna šola Stranje,204,Osnovna šola Stranje,2010,2010,Osrednjeslovenska,Kamnik,01.09.2021,10.09.2021,02.09.2021,1011,8. razred,26,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
225,Osnovna šola Stražišče Kranj,991,Osnovna šola Stražišče Kranj Podružnica Žabnica,2010,2010,Gorenjska,Kranj,01.09.2021,11.09.2021,03.09.2021,1004,1. razred,23,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
285,Osnovna šola Martina Krpana Ljubljana,285,Osnovna šola Martina Krpana Ljubljana,2010,2010,Osrednjeslovenska,Ljubljana,01.09.2021,10.09.2021,02.09.2021,1010,7. razred,21,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
292,Osnovna šola Zalog,292,Osnovna šola Zalog,2010,2010,Osrednjeslovenska,Ljubljana,01.09.2021,10.09.2021,03.09.2021,1011,8. razred,23,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3012,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka
30,Srednja šola Domžale,9848,"Srednja šola Domžale, Poklicna in strokovna šola",3010,3010,Osrednjeslovenska,Domžale,01.09.2021,10.09.2021,02.09.2021,1029,2. letnik,19,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
410,Osnovna šola Ljudski vrt Ptuj,410,Osnovna šola Ljudski vrt Ptuj,2010,2010,Podravska,Ptuj,03.09.2021,13.09.2021,03.09.2021,1012,9. razred,27,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3012,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka
416,Osnovna šola Gorišnica,416,Osnovna šola Gorišnica,2010,2010,Podravska,Gorišnica,01.09.2021,10.09.2021,03.09.2021,1009,6. razred,21,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
416,Osnovna šola Gorišnica,416,Osnovna šola Gorišnica,2010,2010,Podravska,Gorišnica,01.09.2021,10.09.2021,03.09.2021,1012,9. razred,19,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
430,Osnovna šola Vuzenica,1159,"Osnovna šola Vuzenica, Enota Vrtec Vuzenica",2010,1010,Koroška,Vuzenica,27.08.2021,09.09.2021,03.09.2021,1001,1. star. obd.,8,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3014,Okužba s Covid-19 pri drugem strokovnem delavcu
485,Osnovna šola Cvetka Golarja Škofja Loka,485,Osnovna šola Cvetka Golarja Škofja Loka,2010,2010,Gorenjska,Škofja Loka,01.09.2021,10.09.2021,03.09.2021,1011,8. razred,26,2004,Karantena za celoten oddelek - pouk poteka na daljavo,3016,Okužba s Covid-19 pri učencu ali več učencih oddelka
4,Gimnazija Celje - Center,4,Gimnazija Celje - Center,3010,3010,Savinjska,Celje,03.09.2021,10.09.2021,03.09.2021,1030,3. letnik,27,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
4,Gimnazija Celje - Center,4,Gimnazija Celje - Center,3010,3010,Savinjska,Celje,03.09.2021,10.09.2021,03.09.2021,1030,3. letnik,30,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
639,Škofijska gimnazija Vipava,639,Škofijska gimnazija Vipava,3010,3010,Goriška,Vipava,03.09.2021,11.09.2021,03.09.2021,1029,2. letnik,23,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
639,Škofijska gimnazija Vipava,639,Škofijska gimnazija Vipava,3010,3010,Goriška,Vipava,03.09.2021,11.09.2021,03.09.2021,1029,2. letnik,18,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
639,Škofijska gimnazija Vipava,639,Škofijska gimnazija Vipava,3010,3010,Goriška,Vipava,03.09.2021,11.09.2021,03.09.2021,1029,2. letnik,24,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
98,Gimnazija Nova Gorica,98,Gimnazija Nova Gorica,3010,3010,Goriška,Nova Gorica,03.09.2021,12.09.2021,03.09.2021,1030,3. letnik,28,2008,Karantena za celoten oddelek - pouk poteka na daljavo,3032,Okužba s Covid-19 pri dijaku ali več dijakih oddelka
